clip,id,frame,latitude,longitude
1_04 13 00,35,727.0,-13.527766825193646,-71.94322633300922
1_04 13 00,35,728.0,-13.527766579245325,-71.94322647880021
1_04 13 00,35,729.0,-13.527766284225313,-71.94322660294743
1_04 13 00,35,730.0,-13.527766020995873,-71.94322670730237
1_04 13 00,35,731.0,-13.527765813699666,-71.94322681340417
1_04 13 00,35,732.0,-13.527765628937958,-71.94322690200018
1_04 13 00,35,733.0,-13.527765222203362,-71.943227015338
1_04 13 00,35,734.0,-13.527764861232415,-71.94322711041245
1_04 13 00,35,735.0,-13.527764508310254,-71.94322721841762
1_04 13 00,35,736.0,-13.527764195793537,-71.9432273089929
1_04 13 00,35,737.0,-13.527763848764494,-71.94322748972411
1_04 13 00,35,738.0,-13.527763982490145,-71.94322774847481
1_04 13 00,35,739.0,-13.527764103426371,-71.94322797372567
1_04 13 00,35,740.0,-13.527764139714296,-71.94322816915601
1_04 13 00,35,741.0,-13.5277642678732,-71.94322840429626
1_04 13 00,35,742.0,-13.527764456433305,-71.94322860844044
1_04 13 00,35,743.0,-13.527764500757126,-71.94322885108225
1_04 13 00,35,744.0,-13.527764541095625,-71.94322906157554
1_04 13 00,35,745.0,-13.52776481819861,-71.94322931048514
1_04 13 00,35,746.0,-13.527765066006616,-71.94322952687209
1_04 13 00,35,747.0,-13.527765088884694,-71.94322977896475
1_04 13 00,35,748.0,-13.527765109338002,-71.94322999758903
1_04 13 00,35,749.0,-13.527764995085626,-71.94323019473256
1_04 13 00,35,750.0,-13.527764893556057,-71.94323036424527
1_04 13 00,35,751.0,-13.52776504863064,-71.94323053027131
1_04 13 00,35,752.0,-13.527765187131273,-71.94323067250724
1_04 13 00,35,753.0,-13.52776530487607,-71.94323084021043
1_04 13 00,35,754.0,-13.527765244708172,-71.94323101934555
1_04 13 00,35,755.0,-13.527765190987667,-71.94323117305481
1_04 13 00,35,756.0,-13.527765143065269,-71.94323130419149
1_04 13 00,35,757.0,-13.52776491712513,-71.9432314870003
1_04 13 00,35,758.0,-13.527764716430108,-71.94323164385746
1_04 13 00,35,759.0,-13.527764388637928,-71.94323182155168
1_04 13 00,35,760.0,-13.527764098188195,-71.94323197377778
1_04 13 00,35,761.0,-13.52776373236473,-71.94323217497475
1_04 13 00,35,762.0,-13.527763408983045,-71.94323234801934
1_04 13 00,35,763.0,-13.52776341559878,-71.94323255629295
1_04 13 00,35,764.0,-13.5277634364444,-71.94323274554722
1_04 13 00,35,765.0,-13.527763277951852,-71.94323297751261
1_04 13 00,35,766.0,-13.527763138778646,-71.94323317812085
1_04 13 00,35,767.0,-13.527763011679433,-71.94323339593474
1_04 13 00,35,768.0,-13.527762900557255,-71.9432335839795
1_04 13 00,35,769.0,-13.5277628950618,-71.94323381076016
1_04 13 00,35,770.0,-13.527762892134179,-71.94323400693474
1_04 13 00,35,771.0,-13.527762649704723,-71.94323419640267
1_04 13 00,35,772.0,-13.527762436241169,-71.94323435904268
1_04 13 00,35,773.0,-13.527762631928422,-71.94323457990357
1_04 13 00,35,774.0,-13.527762808522052,-71.94323477114403
1_04 13 00,35,775.0,-13.527762778664572,-71.9432349925878
1_04 13 00,35,776.0,-13.52776282361687,-71.94323518606471
1_04 13 00,35,777.0,-13.527762834243047,-71.94323537823308
1_06 13 00,113,1069.0,-13.527766563129164,-71.94312342889505
1_06 13 00,113,1070.0,-13.527766563129164,-71.94312342889505
1_06 13 00,113,1071.0,-13.527766563129164,-71.94312342889505
1_06 13 00,113,1072.0,-13.527766563129164,-71.94312342889505
1_06 13 00,113,1073.0,-13.527766563129164,-71.94312342889505
1_06 13 00,113,1076.0,-13.527766563129164,-71.94312342889505
1_06 13 00,113,1077.0,-13.527766563129164,-71.94312342889505
1_06 13 00,113,1078.0,-13.527766563129164,-71.94312342889505
1_06 13 00,113,1079.0,-13.527766371573028,-71.94312348813826
1_06 13 00,113,1080.0,-13.527766207392519,-71.94312353891497
1_06 13 00,113,1081.0,-13.527765905977166,-71.94312365774748
1_06 13 00,113,1082.0,-13.527765648066614,-71.94312375961533
1_06 13 00,113,1083.0,-13.527765240985998,-71.94312390431959
1_06 13 00,113,1084.0,-13.52776489732935,-71.94312402642996
1_06 13 00,113,1085.0,-13.527764425266893,-71.94312418552973
1_06 13 00,113,1088.0,-13.527764367572024,-71.94312418955127
1_06 13 00,113,1089.0,-13.527764326135854,-71.94312419026689
1_06 13 00,113,1090.0,-13.52776412029964,-71.9431242433625
1_06 13 00,113,1091.0,-13.527763658079964,-71.9431244242978
1_06 13 00,113,1092.0,-13.527763102159328,-71.94312462820389
1_06 13 00,113,1093.0,-13.527762944223555,-71.94312468143048
1_06 13 00,113,1094.0,-13.52776295476111,-71.94312465939863
1_06 13 00,113,1095.0,-13.52776256309093,-71.9431248298289
1_06 13 00,113,1096.0,-13.527762234751615,-71.94312497325647
1_06 13 00,113,1097.0,-13.527762090392018,-71.94312503244949
1_06 13 00,113,1098.0,-13.527761820400608,-71.9431251279861
1_06 13 00,113,1099.0,-13.527761743889133,-71.94312516183125
1_06 13 00,113,1100.0,-13.527761683827492,-71.94312518888218
1_06 13 00,113,1101.0,-13.527761492065794,-71.94312525506
1_06 13 00,113,1102.0,-13.527761331488408,-71.94312531037053
1_06 13 00,113,1103.0,-13.527761100538086,-71.94312542510512
1_06 13 00,113,1104.0,-13.527761023038277,-71.94312546739066
1_06 13 00,113,1105.0,-13.527760939145342,-71.9431254899584
1_06 13 00,113,1106.0,-13.527760871147688,-71.94312550770103
1_06 13 00,113,1107.0,-13.527760816790037,-71.94312552131984
1_06 13 00,113,1108.0,-13.527760660908239,-71.94312558474394
1_06 13 00,113,1109.0,-13.527760529147034,-71.94312563853973
1_06 13 00,113,1110.0,-13.527760418338763,-71.94312568396543
1_06 13 00,113,1111.0,-13.527760194712535,-71.94312576243884
1_06 13 00,113,1112.0,-13.527760002891519,-71.94312582965115
1_06 13 00,113,1113.0,-13.527759838889057,-71.94312588701735
1_06 13 00,113,1114.0,-13.52775959127355,-71.94312598666663
1_06 13 00,113,1115.0,-13.52775935782962,-71.94312606128966
1_06 13 00,113,1116.0,-13.527759156871902,-71.94312612527307
1_06 13 00,113,1117.0,-13.527759130314355,-71.94312615246542
1_06 13 00,113,1118.0,-13.527759006281778,-71.94312622447427
1_06 13 00,113,1119.0,-13.5277590066856,-71.94312623674264
1_06 13 00,113,1120.0,-13.527759011944056,-71.94312624576749
1_06 13 00,113,1121.0,-13.527759021328613,-71.94312625197583
1_06 13 00,113,1122.0,-13.527758929871046,-71.94312630492561
1_06 13 00,113,1123.0,-13.527758853152001,-71.94312635019023
1_06 13 00,113,1124.0,-13.527758912643362,-71.94312635083152
1_06 13 00,113,1125.0,-13.527758969746898,-71.94312634972678
1_06 13 00,113,1126.0,-13.527759024525993,-71.94312634712963
1_06 13 00,113,1127.0,-13.527759077044674,-71.9431263432645
1_06 13 00,113,1128.0,-13.527759127367394,-71.94312633832976
1_06 13 00,113,1129.0,-13.527759175558838,-71.94312633250082
1_06 13 00,113,1130.0,-13.527759221683745,-71.94312632593254
1_06 13 00,113,1131.0,-13.527759265806772,-71.94312631876154
1_06 13 00,113,1132.0,-13.527759411042917,-71.94312626261676
1_06 13 00,113,1133.0,-13.527759504538194,-71.94312618946469
1_06 13 00,113,1134.0,-13.527759525894604,-71.94312619360377
1_06 13 00,113,1135.0,-13.527759444259464,-71.94312624474638
1_06 13 00,113,1136.0,-13.527759271111174,-71.94312633761757
1_06 13 00,113,1137.0,-13.52775928598845,-71.94312630086284
1_06 13 00,113,1138.0,-13.527759282313001,-71.94312625616051
1_06 13 00,113,1139.0,-13.52775928125995,-71.94312621537088
1_06 13 00,113,1140.0,-13.527759179983462,-71.94312622644316
1_06 13 00,113,1141.0,-13.527759091900428,-71.94312623549604
1_06 13 00,113,1142.0,-13.527759117866957,-71.94312619454462
1_06 13 00,113,1143.0,-13.527759143141791,-71.9431261572801
1_06 13 00,113,1144.0,-13.527759186901394,-71.94312613426288
1_06 13 00,113,1145.0,-13.52775922782789,-71.94312611312223
1_06 13 00,113,1146.0,-13.527759246900995,-71.94312608281734
1_06 13 00,113,1147.0,-13.527759304008772,-71.94312607704592
1_06 13 00,113,1148.0,-13.527759356521239,-71.94312607142471
1_06 13 00,113,1149.0,-13.527759404813336,-71.9431260659614
1_06 13 00,113,1150.0,-13.527759449228977,-71.94312606066174
1_06 13 00,113,1151.0,-13.527759490083627,-71.94312605552993
1_06 13 00,113,1152.0,-13.52775952766673,-71.94312605056871
1_06 13 00,113,1153.0,-13.527759562243888,-71.94312604577962
1_06 13 00,113,1154.0,-13.527759696652966,-71.94312599282257
1_06 13 00,113,1155.0,-13.527759817489699,-71.94312594524486
1_06 13 00,113,1156.0,-13.527759682072405,-71.94312597756979
1_06 13 00,113,1157.0,-13.527759459603068,-71.94312605446055
1_06 13 00,113,1158.0,-13.527759364655061,-71.94312607441869
1_06 13 00,113,1159.0,-13.527759281017785,-71.94312609189194
1_06 13 00,113,1160.0,-13.527759207522895,-71.94312610714158
1_06 13 00,113,1161.0,-13.527759143116274,-71.94312612040312
1_06 13 00,113,1162.0,-13.527759188967043,-71.94312608370188
1_06 13 00,113,1163.0,-13.527759230996136,-71.9431260506425
1_06 13 00,113,1164.0,-13.52775916732309,-71.94312606912187
1_06 13 00,113,1165.0,-13.527759213706188,-71.94312603713969
1_06 13 00,113,1166.0,-13.527759256066172,-71.94312600837867
1_06 13 00,113,1167.0,-13.527759294747064,-71.94312598253688
1_06 13 00,113,1168.0,-13.52775933006392,-71.9431259593394
1_06 13 00,113,1169.0,-13.527759362305206,-71.94312593853593
1_06 13 00,113,1170.0,-13.52775939173501,-71.94312591989883
1_06 13 00,113,1171.0,-13.527759418595071,-71.94312590322103
1_06 13 00,113,1172.0,-13.527759443106618,-71.94312588831433
1_06 13 00,113,1173.0,-13.527759465472084,-71.94312587500761
1_06 13 00,113,1174.0,-13.527759485876665,-71.94312586314543
1_06 13 00,113,1175.0,-13.527759504489817,-71.94312585258669
1_06 13 00,113,1176.0,-13.527759521466493,-71.94312584320323
1_06 13 00,113,1177.0,-13.52775953694844,-71.9431258348788
1_06 13 00,113,1178.0,-13.52775955106527,-71.94312582750797
1_06 13 00,113,1179.0,-13.52775956393549,-71.94312582099508
1_06 13 00,113,1180.0,-13.52775957566746,-71.94312581525355
1_06 13 00,113,1181.0,-13.527759483862686,-71.94312585861046
1_06 13 00,113,1182.0,-13.527759402312679,-71.94312589729803
1_06 13 00,113,1183.0,-13.527759329987617,-71.94312593177717
1_06 13 00,113,1184.0,-13.527759265956844,-71.94312596246488
1_06 13 00,113,1185.0,-13.527759209379326,-71.94312598973825
1_06 13 00,113,1186.0,-13.527759140323623,-71.94312600307435
1_06 13 00,113,1187.0,-13.527758977339136,-71.9431260630312
1_06 13 00,113,1188.0,-13.52775893478063,-71.94312606812012
1_06 13 00,113,1189.0,-13.52775889764793,-71.94312607245458
1_06 13 00,113,1190.0,-13.527758744398376,-71.9431261133988
1_06 13 00,113,1191.0,-13.527758507168441,-71.94312619770119
1_06 13 00,113,1192.0,-13.527758297089289,-71.94312627246325
1_06 13 00,113,1193.0,-13.527758111360718,-71.94312633866414
1_06 13 00,113,1194.0,-13.527757947464496,-71.94312639718464
1_06 13 00,113,1195.0,-13.527757803134971,-71.94312644881734
1_06 13 00,113,1196.0,-13.527757676333065,-71.94312649427583
1_06 13 00,113,1197.0,-13.527757565223117,-71.9431265342027
1_06 13 00,113,1198.0,-13.527757468152325,-71.94312656917671
1_06 13 00,113,1199.0,-13.527757402615622,-71.94312661051882
1_06 13 00,113,1200.0,-13.527757346212496,-71.94312664672071
1_06 13 00,113,1201.0,-13.527757278973336,-71.94312666752661
1_06 13 00,113,1202.0,-13.527757340462069,-71.94312664864302
1_06 13 00,113,1203.0,-13.527757397271932,-71.94312663113645
1_06 13 00,113,1204.0,-13.52775744976439,-71.94312661490464
1_06 13 00,113,1205.0,-13.527757479280638,-71.94312658904998
1_06 13 00,113,1206.0,-13.527757325015084,-71.94312667145539
1_06 13 00,113,1207.0,-13.527757189189536,-71.94312674431542
1_06 13 00,113,1208.0,-13.527757069879195,-71.94312680861346
1_06 13 00,113,1209.0,-13.527757084482285,-71.94312682862198
1_06 13 00,113,1210.0,-13.527757199575325,-71.9431267983452
1_06 13 00,113,1211.0,-13.52775730394926,-71.94312677065756
1_06 13 00,113,1212.0,-13.52775737958351,-71.94312673454286
1_06 13 00,113,1213.0,-13.527757467354537,-71.94312671256891
1_06 13 00,113,1214.0,-13.527757527840565,-71.94312668166502
1_06 13 00,113,1215.0,-13.52775770257893,-71.94312661683317
1_06 13 00,113,1216.0,-13.527757859492075,-71.94312655855835
1_06 13 00,113,1217.0,-13.527757981195863,-71.94312649541304
1_06 13 00,113,1218.0,-13.52775809028983,-71.94312643883113
1_06 13 00,113,1219.0,-13.527758187961444,-71.94312638819349
