clip,id,frame,latitude,longitude
1_04_13_00,65,2335.0,-13.522814776964273,-71.96144036575372
1_04_13_00,65,2336.0,-13.522814768790038,-71.9614403680396
1_04_13_00,65,2337.0,-13.522814761450945,-71.96144037018932
1_04_13_00,65,2338.0,-13.522814741399062,-71.96144036844534
1_04_13_00,65,2339.0,-13.522814723493587,-71.96144036698978
1_04_13_00,65,2340.0,-13.52281470752592,-71.96144036578973
1_04_13_00,65,2341.0,-13.522814693306698,-71.9614403648155
1_04_13_00,65,2342.0,-13.522814680664087,-71.96144036404053
1_04_13_00,65,2343.0,-13.52281470184491,-71.96144032451244
1_04_13_00,65,2344.0,-13.522814720779142,-71.96144028937806
1_04_13_00,65,2345.0,-13.522814737685186,-71.96144025820047
1_04_13_00,65,2346.0,-13.522814752761107,-71.96144023058397
1_04_13_00,65,2347.0,-13.522814766186483,-71.96144020617032
1_04_13_00,65,2348.0,-13.522814778124104,-71.96144018463521
1_04_13_00,65,2349.0,-13.522814788721497,-71.96144016568515
1_04_13_00,65,2350.0,-13.522814798112343,-71.96144014905461
1_04_13_00,65,2351.0,-13.522814806417717,-71.96144013450352
1_04_13_00,65,2352.0,-13.522814813747273,-71.96144012181486
1_04_13_00,65,2353.0,-13.522814820200253,-71.96144011079242
1_04_13_00,65,2354.0,-13.52281482586649,-71.96144010125914
1_04_13_00,65,2355.0,-13.522814830827228,-71.96144009305507
1_04_13_00,65,2356.0,-13.522814835155934,-71.9614400860359
1_04_13_00,65,2357.0,-13.522814838919018,-71.96144008007153
1_04_13_00,65,2358.0,-13.52281484217647,-71.9614400750446
1_04_13_00,65,2359.0,-13.522814844982463,-71.96144007084955
1_04_13_00,65,2360.0,-13.522814847385884,-71.9614400673912
1_04_13_00,65,2361.0,-13.522814849430839,-71.96144006458401
1_04_13_00,65,2362.0,-13.522814851157083,-71.96144006235113
1_04_13_00,65,2363.0,-13.522814852600439,-71.96144006062345
1_04_13_00,65,2364.0,-13.522814853793157,-71.96144005933904
1_04_13_00,65,2365.0,-13.522814854764247,-71.9614400584423
1_04_13_00,65,2366.0,-13.522814855539798,-71.9614400578835
