id,frame,label,x_est,y_est,vx_est,vy_est
67,2519,ped,898.861834614094,187.86629995975827,-29.948231629515433,1.7502274714307842
67,2520,ped,898.3116565712393,187.91018041646146,-30.06136496857019,1.7828325577211666
67,2521,ped,897.6965977866298,187.87801209649362,-30.313969148227997,1.6457557002171117
67,2522,ped,897.1644533449521,187.8484242095386,-30.373548161616153,1.5195267648865654
67,2523,ped,896.7062770633926,187.8212044853765,-30.267226011436,1.403256813594389
67,2524,ped,896.1031800422438,187.8664351200775,-30.485401958669144,1.451568498586103
67,2525,ped,895.581727936105,187.97625705431244,-30.514943911139156,1.6408842937153425
67,2526,ped,895.0628692389851,188.0030986376975,-30.537655460851106,1.6397649090171664
67,2527,ped,894.4761035546854,187.95592144907764,-30.709556222469594,1.4751510480968515
67,2528,ped,893.9692945312623,187.91302401748376,-30.698475070420585,1.3260967549762275
