               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.026977,            0.045085,                   0,              0.9244,             0.91316,             0.97023,             0.72342,            0.025471,            0.050727,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.027011,            0.045248,                   0,             0.92918,             0.90884,             0.97153,             0.72808,            0.025386,            0.050364,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.027064,            0.044918,                   0,             0.92479,             0.91827,             0.97056,             0.73048,            0.025223,            0.049993,                   0,            0.008317,            0.008317,            0.008317
                  53,             0.02682,            0.044631,                   0,             0.92184,             0.91552,             0.96842,             0.72862,            0.025275,            0.049754,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.026651,            0.044092,                   0,             0.92344,             0.91236,             0.96813,             0.72873,            0.025225,            0.049909,                   0,            0.008251,            0.008251,            0.008251
                  55,              0.0268,            0.044871,                   0,             0.93664,             0.90157,             0.97038,             0.73076,            0.025196,            0.049633,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.026821,            0.044411,                   0,              0.9324,             0.91336,             0.97255,             0.73249,            0.025074,            0.049212,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.026577,            0.044167,                   0,             0.92539,              0.9165,             0.97058,             0.72958,            0.025098,            0.049988,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.026675,            0.043924,                   0,             0.92832,             0.91729,              0.9722,              0.7318,            0.025195,            0.049482,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.026692,            0.044234,                   0,             0.93953,             0.90661,             0.97239,             0.73063,            0.025176,            0.050047,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.026599,            0.044839,                   0,             0.93236,             0.91265,             0.97161,             0.73589,            0.025005,              0.0492,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.026509,            0.044355,                   0,             0.93138,             0.91061,             0.97009,              0.7258,            0.025452,            0.050348,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.026358,            0.043906,                   0,             0.93093,             0.91089,             0.97175,             0.73102,            0.025236,            0.050238,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.026552,            0.043932,                   0,             0.93867,             0.90805,             0.97228,             0.73293,            0.024975,            0.049531,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.026322,            0.043656,                   0,             0.92763,             0.91611,             0.97096,             0.73181,            0.025108,            0.049756,                   0,            0.007921,            0.007921,            0.007921
