               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,             0.04004,            0.026292,          0.00081562,             0.84468,             0.74644,             0.84425,             0.46089,            0.036267,             0.03187,          0.00074036,           0.0079012,           0.0079012,           0.0079012
                  55,            0.040155,            0.026456,          0.00080453,             0.83526,             0.76833,             0.85308,             0.46819,            0.036303,            0.031594,          0.00077424,           0.0078616,           0.0078616,           0.0078616
                  56,            0.040296,            0.026494,          0.00077949,             0.83923,             0.75051,             0.84692,             0.46437,            0.036839,             0.03169,          0.00076768,            0.007822,            0.007822,            0.007822
                  57,            0.040551,            0.026043,          0.00077328,             0.85673,             0.73905,             0.84923,              0.4685,            0.036276,            0.031858,          0.00071886,           0.0077824,           0.0077824,           0.0077824
                  58,            0.039715,            0.025921,          0.00080266,             0.81402,             0.77495,             0.85001,             0.47049,             0.03563,             0.03161,          0.00073404,           0.0077428,           0.0077428,           0.0077428
                  59,            0.039581,            0.026295,           0.0007572,             0.83232,             0.76171,             0.85007,             0.47014,            0.036563,            0.031651,          0.00071942,           0.0077032,           0.0077032,           0.0077032
                  60,            0.039424,            0.026157,           0.0007643,              0.8243,             0.78113,             0.85541,             0.47285,            0.036179,            0.031463,          0.00071895,           0.0076636,           0.0076636,           0.0076636
                  61,            0.039271,             0.02603,          0.00078488,             0.86357,             0.73727,             0.85049,             0.46849,            0.036453,             0.03162,          0.00074045,            0.007624,            0.007624,            0.007624
                  62,            0.039629,            0.025868,          0.00072587,              0.8471,             0.74615,             0.85079,             0.46716,            0.036558,            0.031786,           0.0006674,           0.0075844,           0.0075844,           0.0075844
                  63,             0.03989,            0.026355,          0.00076679,              0.8364,             0.76095,             0.85152,             0.46597,            0.036333,            0.031731,          0.00074765,           0.0075448,           0.0075448,           0.0075448
                  64,            0.039531,            0.026262,          0.00075537,             0.85076,             0.75032,             0.85464,             0.47138,            0.036267,            0.031527,          0.00069884,           0.0075052,           0.0075052,           0.0075052
                  65,            0.039986,            0.026592,          0.00076463,             0.84806,             0.75737,             0.85574,             0.47073,            0.036196,            0.031495,          0.00073211,           0.0074656,           0.0074656,           0.0074656
                  66,            0.039663,            0.026059,          0.00073431,             0.85246,             0.75305,             0.85277,             0.47301,             0.03609,            0.031555,           0.0006692,            0.007426,            0.007426,            0.007426
                  67,            0.039265,            0.026076,          0.00073522,             0.84532,             0.75546,             0.85318,             0.47587,            0.035964,            0.031384,          0.00072718,           0.0073864,           0.0073864,           0.0073864
                  68,            0.039481,            0.025625,          0.00073813,              0.8296,             0.77095,             0.85458,             0.47204,            0.036049,            0.031737,          0.00071425,           0.0073468,           0.0073468,           0.0073468
                  69,            0.039086,            0.025557,          0.00072309,             0.83414,             0.76947,             0.85512,             0.47627,            0.035817,            0.031421,          0.00065693,           0.0073072,           0.0073072,           0.0073072
                  70,            0.039058,            0.025419,          0.00070976,             0.85862,             0.75141,             0.85595,             0.47688,            0.035471,            0.031424,          0.00068095,           0.0072676,           0.0072676,           0.0072676
                  71,            0.039197,            0.025762,          0.00072597,             0.83276,             0.76946,             0.85718,             0.47589,            0.035877,            0.031753,          0.00068528,            0.007228,            0.007228,            0.007228
                  72,            0.038904,            0.025671,          0.00071029,             0.83291,             0.77546,             0.85628,             0.47617,            0.035706,            0.031309,          0.00066017,           0.0071884,           0.0071884,           0.0071884
                  73,            0.038386,            0.025311,           0.0007118,             0.86861,             0.74561,             0.85844,              0.4785,            0.035995,            0.031278,          0.00068452,           0.0071488,           0.0071488,           0.0071488
                  74,            0.039238,            0.025941,          0.00073739,             0.83033,             0.77495,             0.85623,             0.47393,             0.03586,            0.031547,           0.0006564,           0.0071092,           0.0071092,           0.0071092
                  75,            0.038755,            0.026375,          0.00070113,             0.86044,             0.75496,              0.8574,             0.47735,            0.035941,            0.031495,          0.00066935,           0.0070696,           0.0070696,           0.0070696
                  76,            0.038535,            0.025387,          0.00073115,             0.85065,             0.76123,             0.85815,             0.47832,            0.036066,            0.031326,          0.00067109,             0.00703,             0.00703,             0.00703
                  77,            0.038958,            0.025709,          0.00066283,             0.84104,             0.77164,             0.85526,             0.47756,            0.035484,            0.031438,          0.00063041,           0.0069904,           0.0069904,           0.0069904
                  78,            0.038655,             0.02599,          0.00068417,             0.86362,             0.75687,             0.85853,             0.48148,            0.035828,             0.03127,          0.00066747,           0.0069508,           0.0069508,           0.0069508
                  79,            0.039126,            0.025795,          0.00071261,             0.85313,             0.76146,             0.85562,             0.47925,            0.035602,            0.031472,          0.00066613,           0.0069112,           0.0069112,           0.0069112
                  80,            0.038844,            0.025386,           0.0007042,             0.84429,             0.76502,             0.85392,             0.48002,            0.035269,            0.031318,          0.00066152,           0.0068716,           0.0068716,           0.0068716
                  81,            0.038148,            0.025535,          0.00071994,             0.82068,             0.78996,             0.86106,             0.48344,             0.03517,            0.031243,          0.00067627,            0.006832,            0.006832,            0.006832
                  82,            0.038711,            0.025572,          0.00069972,             0.83154,             0.78131,             0.85864,             0.48125,            0.035167,            0.031433,          0.00065507,           0.0067924,           0.0067924,           0.0067924
                  83,            0.038804,             0.02614,           0.0006752,             0.84499,             0.75636,             0.85502,             0.47926,            0.035457,            0.031594,          0.00064655,           0.0067528,           0.0067528,           0.0067528
                  84,            0.038915,             0.02567,          0.00068657,             0.85735,             0.75128,             0.86015,               0.479,            0.035123,            0.031335,          0.00064857,           0.0067132,           0.0067132,           0.0067132
                  85,            0.038045,             0.02538,          0.00067661,             0.83665,             0.77191,             0.85972,             0.48013,             0.03502,            0.031381,          0.00063862,           0.0066736,           0.0066736,           0.0066736
                  86,            0.037967,             0.02522,          0.00063666,             0.83784,             0.77113,             0.85911,             0.48113,            0.035339,            0.031372,          0.00061399,            0.006634,            0.006634,            0.006634
                  87,            0.037915,            0.025143,          0.00066177,             0.84228,             0.77393,             0.86151,             0.48348,            0.035308,            0.031208,          0.00061701,           0.0065944,           0.0065944,           0.0065944
                  88,            0.038434,            0.025378,          0.00066683,             0.83827,             0.77983,             0.86262,             0.48344,            0.035648,            0.031402,           0.0006211,           0.0065548,           0.0065548,           0.0065548
                  89,            0.038344,             0.02487,          0.00067429,             0.84923,             0.77724,              0.8657,             0.48824,            0.035417,            0.031042,          0.00062745,           0.0065152,           0.0065152,           0.0065152
                  90,            0.038015,              0.0255,          0.00068871,             0.86622,             0.75636,             0.86122,             0.48463,            0.035506,            0.031245,          0.00065809,           0.0064756,           0.0064756,           0.0064756
                  91,            0.038175,            0.025418,          0.00064875,             0.87201,             0.74586,             0.86122,             0.48573,            0.035186,            0.031244,          0.00060805,            0.006436,            0.006436,            0.006436
                  92,            0.037587,            0.025151,          0.00065375,             0.86767,             0.75662,              0.8609,             0.48577,            0.035273,            0.031421,           0.0006175,           0.0063964,           0.0063964,           0.0063964
                  93,            0.038081,            0.025097,          0.00066689,             0.86927,             0.75713,             0.86313,             0.48699,            0.035029,            0.031051,          0.00062169,           0.0063568,           0.0063568,           0.0063568
                  94,            0.037551,            0.025152,          0.00063584,             0.86061,              0.7655,              0.8646,             0.48932,            0.035177,            0.031075,          0.00059934,           0.0063172,           0.0063172,           0.0063172
                  95,            0.037783,             0.02514,          0.00064904,              0.8394,             0.77843,             0.85953,             0.48778,            0.035118,            0.031191,          0.00060267,           0.0062776,           0.0062776,           0.0062776
                  96,            0.037514,            0.025241,          0.00062344,              0.8422,             0.78106,             0.86241,             0.48725,            0.034969,            0.031124,          0.00059132,            0.006238,            0.006238,            0.006238
                  97,            0.037628,            0.025027,          0.00063883,             0.85079,             0.76833,             0.86218,             0.48715,            0.035041,            0.031117,          0.00061213,           0.0061984,           0.0061984,           0.0061984
                  98,             0.03755,            0.025054,          0.00062768,             0.85294,             0.76655,             0.86161,             0.49015,            0.034799,            0.031028,           0.0005822,           0.0061588,           0.0061588,           0.0061588
                  99,            0.037635,             0.02511,          0.00063959,             0.84706,             0.78208,             0.86537,             0.49013,            0.034853,            0.031127,          0.00058106,           0.0061192,           0.0061192,           0.0061192
                 100,            0.037834,            0.024752,          0.00060999,             0.86472,             0.76649,             0.86363,             0.48737,             0.03507,            0.031085,          0.00060044,           0.0060796,           0.0060796,           0.0060796
                 101,            0.037638,            0.025233,          0.00063208,              0.8473,             0.77291,             0.86459,              0.4886,            0.035032,            0.031026,          0.00058388,             0.00604,             0.00604,             0.00604
                 102,             0.03744,            0.024963,          0.00059352,             0.86077,             0.76964,             0.86571,             0.48821,            0.035339,            0.031086,          0.00058175,           0.0060004,           0.0060004,           0.0060004
                 103,            0.036742,            0.024965,          0.00060615,             0.85658,              0.7696,             0.86514,             0.49019,             0.03513,            0.031139,          0.00058469,           0.0059608,           0.0059608,           0.0059608
                 104,            0.037271,            0.024549,          0.00062284,             0.83694,             0.79073,             0.86554,             0.49068,            0.034869,            0.031044,          0.00057094,           0.0059212,           0.0059212,           0.0059212
                 105,            0.037118,            0.024962,          0.00062427,             0.85389,             0.77218,             0.86335,             0.48952,            0.034927,            0.031168,          0.00058847,           0.0058816,           0.0058816,           0.0058816
                 106,            0.037896,            0.024685,          0.00058856,             0.85529,             0.77338,             0.86684,             0.49159,            0.035178,            0.031035,          0.00056508,            0.005842,            0.005842,            0.005842
                 107,            0.036644,            0.024733,          0.00060944,             0.83959,             0.79201,             0.86866,             0.49259,            0.035006,            0.031015,          0.00057233,           0.0058024,           0.0058024,           0.0058024
                 108,            0.037004,            0.024363,           0.0005866,              0.8307,             0.79699,             0.86708,             0.49134,            0.034955,            0.031093,          0.00056394,           0.0057628,           0.0057628,           0.0057628
                 109,            0.037362,            0.024821,          0.00059534,             0.85043,             0.77622,             0.86744,             0.49381,            0.034867,            0.031013,          0.00055547,           0.0057232,           0.0057232,           0.0057232
